,word,lang,pairs_eng,pairs_cat,pairs_esp,pairs_ger,pairs_por,pairs_pol,pairs_ita,pairs_swe,pairs_fre,pairs_rus,diptongos,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,de_zipf,ca_zipf,es_zipf,fr_zipf,it_zipf,pl_zipf,pt_zipf,ru_zipf,sv_zipf
0,as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.77,4.57,4.22,4.66,5.79,4.26,4.51,6.73,3.89,4.66
1,his,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.51,3.93,3.12,3.63,3.7,3.67,3.82,3.94,3.62,3.89
2,that,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,4.56,3.67,4.12,4.12,4.24,4.4,4.38,3.98,4.5
3,he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.69,4.36,5.87,5.77,4.02,4.0,4.39,4.01,3.74,4.32
4,was,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.82,6.49,3.78,3.84,3.83,3.94,5.57,3.99,3.76,4.01
5,for,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.01,4.88,4.73,4.66,4.6,4.86,4.98,5.62,4.71,4.94
6,on,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,4.95,6.18,4.66,6.71,4.98,5.98,5.17,4.49,4.93
7,are,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6.74,4.29,3.67,4.07,4.05,4.22,4.42,4.32,3.94,4.42
8,with,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.85,4.58,4.24,4.2,4.4,4.38,4.52,4.67,4.22,4.52
9,they,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.5,3.83,3.42,3.61,3.6,3.76,3.93,3.76,3.45,3.82
10,be,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6.79,4.72,4.75,4.21,4.27,4.59,4.51,4.47,4.09,5.04
