,word,lang,pairs_eng,pairs_cat,pairs_esp,pairs_ger,pairs_por,pairs_pol,pairs_ita,pairs_swe,pairs_fre,pairs_rus,diptongos
0,as,1,0,0,0,0,0,0,0,0,0,0,0
1,his,1,0,0,0,0,0,0,0,0,0,0,0
2,that,1,1,0,0,0,0,0,0,0,0,0,0
3,he,1,0,0,0,0,0,0,0,0,0,0,0
4,was,1,0,0,0,0,0,0,0,0,0,0,0
5,for,1,0,0,0,0,0,0,0,0,0,0,0
6,on,1,0,0,0,0,0,0,0,0,0,0,0
7,are,1,0,0,0,0,0,0,0,0,0,0,0
8,with,1,1,0,0,0,0,0,0,0,0,0,0
9,they,1,1,0,0,0,0,0,0,0,0,0,0
10,be,1,0,0,0,0,0,0,0,0,0,0,0
11,at,1,0,0,0,0,0,0,0,0,0,0,0
12,one,1,0,0,0,0,0,0,1,0,0,0,0
13,have,1,0,0,0,0,0,0,0,0,0,0,0
14,this,1,1,0,0,0,0,0,0,0,0,0,0
15,from,1,0,1,0,0,0,0,0,0,0,0,0
16,by,1,0,0,0,0,0,0,0,0,0,0,0
17,hot,1,0,0,0,0,0,0,0,0,0,0,0
18,word,1,0,0,0,0,0,0,0,0,0,0,0
19,but,1,0,0,0,0,0,0,0,0,0,0,0
20,what,1,1,0,0,0,0,0,0,0,0,0,0
21,some,1,0,0,0,0,0,0,0,0,0,0,0
22,is,1,0,0,0,0,0,0,0,0,0,0,0
23,it,1,0,0,0,0,0,0,0,0,0,0,0
24,you,1,0,0,0,0,0,0,0,0,0,0,1
25,or,1,0,0,0,0,0,0,0,0,0,0,0
26,had,1,0,0,0,0,0,0,0,0,0,0,0
27,the,1,1,0,0,0,0,0,0,0,0,0,0
28,of,1,0,0,0,0,0,0,0,0,0,0,0
29,to,1,0,0,0,0,0,0,0,0,0,0,0
30,and,1,0,1,1,0,0,0,0,0,0,0,0
31,a,1,0,0,0,0,0,0,0,0,0,0,0
32,in,1,0,0,0,0,0,0,0,0,1,0,0
33,we,1,0,0,0,0,0,0,0,0,0,0,0
34,can,1,0,0,0,0,0,0,0,0,0,0,0
35,out,1,0,0,0,0,0,0,0,0,0,0,1
36,other,1,1,0,0,0,0,0,0,0,0,0,0
37,were,1,0,0,0,0,0,0,0,0,0,0,0
38,which,1,2,0,1,0,0,1,2,1,1,0,0
39,do,1,0,0,0,0,0,0,0,0,0,0,0
40,their,1,1,0,0,0,0,0,0,0,0,0,1
41,time,1,0,0,0,0,0,0,0,0,0,0,0
