,word,lang,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,es_zipf,ca_zipf,it_zipf,fr_zipf,pt_zipf,de_zipf,sv_zipf,pl_zipf,ru_zipf
0,as,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.77,4.66,4.22,4.26,5.79,6.73,4.57,4.66,4.51,3.89
1,his,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.51,3.63,3.12,3.67,3.7,3.94,3.93,3.89,3.82,3.62
2,that,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,4.12,3.67,4.24,4.12,4.38,4.56,4.5,4.4,3.98
3,he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.69,5.77,5.87,4.0,4.02,4.01,4.36,4.32,4.39,3.74
4,was,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.82,3.84,3.78,3.94,3.83,3.99,6.49,4.01,5.57,3.76
5,for,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.01,4.66,4.73,4.86,4.6,5.62,4.88,4.94,4.98,4.71
6,on,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,4.66,6.18,4.98,6.71,5.17,4.95,4.93,5.98,4.49
7,are,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,6.74,4.07,3.67,4.22,4.05,4.32,4.29,4.42,4.42,3.94
8,with,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.85,4.2,4.24,4.38,4.4,4.67,4.58,4.52,4.52,4.22
9,they,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.5,3.61,3.42,3.76,3.6,3.76,3.83,3.82,3.93,3.45
10,be,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6.79,4.21,4.75,4.59,4.27,4.47,4.72,5.04,4.51,4.09
11,at,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,4.2,4.36,4.34,4.26,4.82,4.67,4.77,4.41,4.41
12,one,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.47,4.41,4.3,4.63,4.53,4.9,4.65,4.62,5.49,4.4
13,have,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.71,3.83,3.67,4.02,3.83,4.0,4.14,4.15,4.23,3.71
14,this,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.82,4.22,4.1,4.42,4.15,4.43,4.51,4.48,4.49,4.1
15,from,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,4.18,3.9,4.26,4.15,4.67,4.4,4.47,4.55,4.02
16,by,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.66,4.55,4.64,4.72,4.52,4.78,4.72,4.94,6.26,4.54
17,hot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,3.93,3.7,4.19,4.05,4.09,4.16,4.93,4.32,3.57
18,word,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.26,3.64,3.28,3.71,3.57,3.88,3.9,3.82,3.87,3.34
19,but,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.63,3.74,3.55,3.9,5.28,4.01,4.05,4.17,4.28,3.56
20,what,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.38,3.99,3.33,4.14,3.99,4.27,4.21,4.38,4.35,3.96
21,some,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.2,3.53,2.89,3.62,3.58,4.34,3.81,3.84,3.71,3.41
22,is,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.07,4.49,4.43,4.7,4.51,4.75,5.25,5.13,4.82,4.37
23,it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,4.45,4.27,4.82,4.46,4.69,4.93,5.07,4.82,4.52
24,you,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,4.63,4.17,4.7,4.67,5.01,4.84,4.99,5.07,4.61
25,or,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.54,4.23,5.0,4.39,5.35,4.4,4.4,4.53,4.37,3.76
26,had,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,3.29,2.67,3.34,3.37,3.47,3.55,3.69,3.43,3.22
27,the,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.73,5.42,5.48,5.5,5.35,5.99,5.62,5.63,5.66,5.43
28,of,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,5.1,5.16,5.28,5.17,5.73,5.45,5.35,5.42,4.96
29,to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,4.9,4.99,5.02,4.91,5.75,5.17,5.1,7.29,4.81
30,and,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,4.95,4.86,5.1,4.99,5.48,5.22,5.19,5.28,4.7
31,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,7.36,7.5,7.21,7.0,7.52,5.78,5.7,6.87,5.07
32,in,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.27,5.07,5.08,7.21,5.24,5.53,7.24,6.31,5.31,4.75
33,we,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.54,4.27,4.0,4.31,4.24,4.45,4.44,4.36,5.76,4.03
34,can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,4.13,4.96,4.23,4.14,4.26,4.22,4.18,4.24,3.71
35,out,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.38,4.02,4.09,4.48,4.28,4.46,4.41,4.43,4.35,3.93
36,other,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6.16,3.51,2.96,3.54,3.6,3.96,3.83,3.77,3.8,3.26
