,word,lang,len,vow,acc,accl,accr,die,cir,ñ,ç,ale,rus,pol,por,sue,esp,ita,fra,ger,cat,num_words,apos,hyph,rares,en_zipf,de_zipf,ca_zipf,es_zipf,fr_zipf,it_zipf,pl_zipf,pt_zipf,ru_zipf,sv_zipf
0,Il,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,4.16,4.58,4.0,6.98,7.32,4.02,4.22,3.47,3.79
1,sole,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,3.23,2.53,3.03,3.2,5.13,3.5,2.89,2.42,2.6
2,splende,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0
3,caldo,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,1.62,3.69,3.75,1.65,4.8,1.42,3.63,0.0,1.01
4,in,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,7.24,5.08,5.07,5.24,7.21,5.31,5.53,4.75,6.31
5,"cielo,",0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,2.51,3.0,4.96,2.26,5.0,2.04,3.2,1.64,2.06
6,mentre,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.33,5.62,1.48,1.55,5.8,0.0,1.34,0.0,0.0
7,cammino,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.29,0.0,0.0,0.0,4.51,1.2,0.0,0.0,0.0
8,lungo,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,2.09,1.09,1.81,1.77,5.39,1.51,1.43,0.0,1.98
9,la,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,5.02,7.61,7.56,7.43,7.3,5.16,5.75,4.22,5.15
10,strada,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.68,1.82,2.23,2.49,5.4,2.38,2.82,1.74,2.35
11,sterrata,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0
12,che,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,3.76,3.67,4.4,3.73,7.36,3.75,3.73,2.9,3.27
13,porta,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,3.41,5.39,3.77,3.49,5.41,2.79,5.07,1.85,3.18
14,alla,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,3.33,3.68,4.01,3.71,6.53,2.68,2.93,2.34,6.47
15,spiaggia.,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,1.49,0.0,0.0,1.2,4.67,1.15,1.04,0.0,1.33
16,L'acqua,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.12,2.18,1.84,2.14,2.25,5.28,2.06,2.59,2.02,1.97
17,cristallina,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.41,1.29,0.0,0.0,3.2,0.0,0.0,0.0,0.0
18,del,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,4.33,7.11,7.01,4.29,6.99,4.41,4.75,3.33,5.87
19,mare,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.29,5.36,3.23,3.66,5.22,3.2,3.18,2.49,2.92
20,mi,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,4.19,5.44,6.43,4.76,6.58,6.43,4.42,3.7,3.86
21,attira,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.95,3.75,0.0,0.0,0.0,0.0
22,come,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,3.85,3.39,4.49,3.9,6.67,3.92,4.59,3.64,3.9
23,un,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,4.77,7.11,7.07,7.11,7.16,4.06,4.35,3.61,3.94
24,richiamo,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
25,irresistibile,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0
26,e,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,5.53,5.25,5.93,5.29,7.46,5.32,7.43,4.72,5.74
27,non,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,4.16,3.92,3.84,6.08,7.16,4.39,4.05,3.31,3.94
28,vedo,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.44,0.0,1.78,1.02,5.29,1.4,1.7,1.03,1.25
29,l'ora,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.12,2.97,3.15,3.49,3.01,5.98,3.21,4.41,2.13,2.72
30,di,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,4.67,4.47,4.98,4.56,7.59,4.32,4.38,3.64,4.32
31,tuffarmi,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0
32,nell'onda,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0
33,fresca,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,1.51,4.12,3.96,1.61,4.19,1.55,3.86,1.64,1.8
